,Player 1,Player 2,Team,MP,PTS,FG,FGA,FG%,3P,3PA,eFG%,FT,FTA,FT%,DRB,DRB%,ORB,ORB%,TRB,TRB%,AST,STL,BLK,TOV,PF,ORTG2,DRTG2,Dist._diff,0-3_x_diff,3-10_x_diff,10-16_x_diff,16-3P_x_diff,3P_x_diff,USG%_diff
0,C. Capela,D. Murray,ATL,1771:30:00,-1.1,-0.7,5.0,-0.033,-0.1,-0.021,-0.037,0.4,1.1,-0.025,-0.1,7.1,4.6,7.1,2.2,4.8,-1.0,-0.4,-1.4,-0.5,-0.2,120.6185960249644,117.10897256429588,12.4,0.5229999999999999,0.1,0.1699999999999999,0.076,0.377,3.701686906528124
1,S. Bey,D. Murray,ATL,1594:50:00,-4.1,-2.8,2.0,-0.041,-1.5,-0.048,-0.05,2.9,3.5,0.005,0.0,5.6,3.5,5.6,1.7,3.7,-3.7,-1.3,-1.2,0.4,-0.7,116.46076779273416,119.82025593091136,0.4000000000000003,0.1169999999999999,0.036,0.148,0.068,0.135,10.914911245119114
2,Bogdan Bogdanovic,D. Murray,ATL,1427:54:00,1.4,0.1,4.5,-0.023,-0.7,-0.016,-0.03,1.9,1.9,0.019,0.5,6.1,3.5,6.1,1.9,4.2,-2.0,0.0,-2.3,-0.8,-0.1,114.99069714637184,119.49534857318592,3.4999999999999982,0.047,0.043,0.086,0.028,0.2039999999999999,0.6603103867045377
3,D. Hunter,D. Murray,ATL,1413:14:00,-1.5,-1.4,1.5,-0.024,0.1,-0.001,-0.025,1.3,2.1,-0.018,-1.3,1.9,1.6,1.9,0.1,0.2,-1.8,-0.2,-0.9,-0.7,-0.1,114.48376668816958,119.96753337633918,1.200000000000001,0.004,0.042,0.0439999999999999,0.01,0.08,2.252758037352912
4,J. Johnson,D. Murray,ATL,1262:33:00,-3.8,-2.4,0.6,-0.029,-2.6,-0.044,-0.044,3.5,4.5,-0.005,0.0,5.3,3.2,5.3,1.7,3.7,-2.1,-0.9,-1.1,0.5,-0.8,115.29491357212878,117.70508642787122,4.300000000000001,0.172,0.081,0.098,0.06,0.094,8.616759375855903
5,S. Bey,T. Young,ATL,1237:48:00,-1.0,-2.1,1.2,-0.03,1.0,-0.015,-0.026,2.3,2.8,0.002,-0.5,3.4,2.2,3.4,0.9,2.2,-2.1,-1.0,-1.0,0.0,-1.3,118.13871571505024,121.62042809498328,3.1000000000000014,0.1659999999999999,0.034,0.124,0.056,0.049,15.803336063173298
6,D. Murray,T. Young,ATL,1173:09:00,-6.5,-4.1,0.8,-0.049,-0.3,-0.04,-0.052,2.1,2.7,-0.002,-1.8,2.9,2.5,2.9,0.4,0.9,-3.3,-1.0,-0.7,0.3,-1.0,115.59581630602918,120.5958163060292,2.700000000000001,0.049,0.002,0.0239999999999999,0.0119999999999999,0.086,4.888424818054183
7,S. Bey,Bogdan Bogdanovic,ATL,1147:02:00,4.3,0.6,3.8,-0.013,1.0,0.004,-0.011,2.2,1.8,0.032,1.5,6.0,3.1,6.0,2.1,4.8,-1.8,-0.3,-2.0,-0.4,-0.6,117.65854661368402,120.4146367,3.8999999999999986,0.1639999999999999,0.007,0.062,0.0399999999999999,0.069,10.254600858414577
8,J. Johnson,T. Young,ATL,1142:24:00,-3.2,-2.6,1.3,-0.036,-1.3,-0.038,-0.044,3.3,4.1,0.004,-1.8,4.0,3.0,4.0,0.7,1.6,-2.1,-0.3,-0.4,-0.4,-1.7,117.0,119.5965950390215,7.000000000000002,0.221,0.083,0.074,0.048,0.18,13.505184193910086
9,Bogdan Bogdanovic,J. Johnson,ATL,1098:02:00,3.5,0.3,1.4,-0.003,-1.7,-0.01,-0.014,4.5,4.4,0.049,1.0,2.9,1.4,2.9,1.2,2.7,0.2,1.0,-0.3,-1.3,-1.6,116.4362081456714,118.2551674173144,7.799999999999999,0.219,0.124,0.0119999999999999,0.032,0.298,7.956448989151365
10,Bogdan Bogdanovic,O. Okongwu,ATL,1072:39:00,0.9,-1.5,2.6,-0.031,0.3,-0.016,-0.032,3.6,2.7,0.063,-2.4,1.2,1.5,1.2,-0.6,-1.4,-1.7,1.3,-1.6,-2.0,-1.0,125.29020085151777,119.15543628622568,11.599999999999998,0.436,0.085,0.081,0.046,0.3939999999999999,9.459741349999998
11,S. Bey,C. Capela,ATL,1047:53:00,-2.7,-1.6,4.0,-0.037,-1.1,-0.034,-0.046,1.7,2.3,-0.008,0.8,7.4,4.5,7.4,2.6,5.6,-2.0,-1.5,-1.6,0.7,-0.5,124.50598657079036,117.6205100719072,12.0,0.4059999999999999,0.1359999999999999,0.022,0.008,0.512,7.21322433859099
12,Bogdan Bogdanovic,C. Capela,ATL,977:24:00,3.0,1.7,7.3,-0.018,-0.5,-0.018,-0.026,0.0,-0.1,0.006,1.5,9.1,5.3,9.1,3.3,7.1,-0.6,0.0,-2.4,-0.6,0.3,121.7287619443032,117.61301585654031,15.9,0.57,0.143,0.084,0.0479999999999999,0.581,3.0413765198235865
13,C. Capela,T. Young,ATL,936:35:00,-3.3,-1.8,3.8,-0.039,0.1,-0.034,-0.041,0.2,0.9,-0.024,-1.2,5.2,3.9,5.2,1.4,3.0,-1.9,-0.5,-0.4,-0.3,-1.0,121.8512569,118.91283651161262,15.1,0.572,0.1019999999999999,0.146,0.064,0.463,8.590111724582307
14,C. Capela,J. Johnson,ATL,931:48:00,-5.4,-3.0,1.0,-0.037,-3.0,-0.059,-0.054,3.5,5.3,-0.034,0.3,7.2,4.5,7.2,2.5,5.3,-2.4,-1.5,-0.4,1.3,-1.3,122.95570382736037,115.45857237933087,8.1,0.3509999999999999,0.019,0.072,0.016,0.283,4.915072469327779
15,C. Capela,D. Hunter,ATL,917:21:00,3.1,1.0,5.7,-0.019,0.8,0.001,-0.019,0.3,1.2,-0.035,0.0,6.7,4.2,6.7,2.1,4.6,0.3,0.7,-0.6,-1.5,-0.4,121.35661858016414,118.06617603992424,13.6,0.5269999999999999,0.142,0.126,0.086,0.457,1.4489288691752122
16,Bogdan Bogdanovic,T. Young,ATL,915:10:00,3.0,-0.5,2.9,-0.021,2.0,0.003,-0.013,1.9,1.8,0.023,-1.5,0.6,0.9,0.6,-0.4,-0.9,-1.3,1.2,-1.1,-2.3,-1.6,116.53656846492228,121.07313692984454,0.7999999999999972,0.002,0.041,0.062,0.016,0.1179999999999999,5.548735204758721
