Player 1,Player 2,Team,Assists,2pt,3pt,Rim,SMR,LMR,C3,AB3
C. Capela,D. Murray,ATL,22,10,12,3,3,4,6,6.0
C. Capela,Bogdan Bogdanovic,ATL,21,9,12,1,6,2,5,7.0
C. Capela,D. Hunter,ATL,16,9,7,4,4,1,2,5.0
C. Capela,T. Young,ATL,10,7,3,3,4,0,0,3.0
C. Capela,S. Bey,ATL,7,5,2,2,2,1,1,1.0
C. Capela,J. Johnson,ATL,6,3,3,1,2,0,2,1.0
D. Murray,D. Hunter,ATL,85,47,38,25,16,6,14,24.0
D. Murray,Bogdan Bogdanovic,ATL,82,29,53,10,14,5,7,46.0
D. Murray,J. Johnson,ATL,73,48,25,33,14,1,3,22.0
D. Murray,C. Capela,ATL,68,68,0,47,21,0,0,0.0
D. Murray,S. Bey,ATL,61,27,34,17,9,1,16,18.0
D. Murray,T. Young,ATL,34,16,18,7,6,3,1,17.0
S. Bey,D. Murray,ATL,22,12,10,5,5,2,1,9.0
S. Bey,J. Johnson,ATL,20,13,7,7,6,0,4,3.0
S. Bey,Bogdan Bogdanovic,ATL,11,6,5,1,5,0,4,1.0
S. Bey,T. Young,ATL,10,5,5,1,3,1,0,5.0
S. Bey,C. Capela,ATL,10,10,0,8,2,0,0,0.0
S. Bey,O. Okongwu,ATL,6,4,2,4,0,0,2,0.0
Bogdan Bogdanovic,C. Capela,ATL,39,39,0,33,6,0,0,0.0
Bogdan Bogdanovic,D. Murray,ATL,33,17,16,6,9,2,7,9.0
Bogdan Bogdanovic,O. Okongwu,ATL,33,32,1,23,9,0,1,0.0
Bogdan Bogdanovic,J. Johnson,ATL,27,21,6,17,4,0,2,4.0
Bogdan Bogdanovic,D. Hunter,ATL,27,11,16,6,2,3,10,6.0
Bogdan Bogdanovic,S. Bey,ATL,25,7,18,7,0,0,9,9.0
Bogdan Bogdanovic,T. Young,ATL,22,7,15,3,4,0,5,10.0
D. Hunter,D. Murray,ATL,30,15,15,6,6,3,5,10.0
D. Hunter,Bogdan Bogdanovic,ATL,13,5,8,1,2,2,3,5.0
D. Hunter,C. Capela,ATL,7,7,0,5,2,0,0,0.0
J. Johnson,Bogdan Bogdanovic,ATL,30,14,16,7,5,2,10,6.0
J. Johnson,D. Murray,ATL,29,12,17,7,2,3,6,11.0
J. Johnson,C. Capela,ATL,28,28,0,23,5,0,0,0.0
J. Johnson,T. Young,ATL,26,16,10,7,8,1,0,10.0
J. Johnson,S. Bey,ATL,24,12,12,12,0,0,6,6.0
T. Young,Bogdan Bogdanovic,ATL,123,43,80,23,15,5,16,64.0
T. Young,J. Johnson,ATL,102,86,16,63,21,2,4,12.0
T. Young,D. Murray,ATL,78,36,42,19,12,5,19,23.0
T. Young,C. Capela,ATL,70,70,0,64,6,0,0,0.0
T. Young,S. Bey,ATL,49,23,26,21,2,0,10,16.0
O. Okongwu,Bogdan Bogdanovic,ATL,20,10,10,4,5,1,4,6.0
O. Okongwu,S. Bey,ATL,12,5,7,5,0,0,4,3.0
J. Holiday,J. Brown,BOS,27,11,16,6,2,3,10,6.0
J. Holiday,K. Porzingis,BOS,25,7,18,7,0,0,9,9.0
J. Holiday,J. Tatum,BOS,22,7,15,3,4,0,5,10.0
J. Holiday,D. White,BOS,30,15,15,6,6,3,5,10.0
J. Holiday,A. Horford,BOS,13,5,8,1,2,2,3,5.0
J. Holiday,S. Hauser,BOS,7,7,0,5,2,0,0,0.0
J. Tatum,K. Porzingis,BOS,77,47,30,30,13,4,0,30.0
J. Tatum,J. Holiday,BOS,59,31,28,17,13,1,14,14.0
J. Tatum,A. Horford,BOS,53,18,35,13,5,0,20,15.0
J. Tatum,D. White,BOS,49,12,37,7,5,0,11,26.0
J. Tatum,J. Brown,BOS,45,34,11,21,9,4,1,10.0
J. Tatum,S. Hauser,BOS,38,6,32,2,2,2,14,18.0
J. Tatum,P. Pritchard,BOS,18,4,14,3,0,1,3,11.0
J. Brown,K. Porzingis,BOS,64,39,25,30,6,3,0,25.0
J. Brown,D. White,BOS,42,17,25,10,7,0,7,18.0
J. Brown,J. Holiday,BOS,33,19,14,10,9,0,5,9.0
J. Brown,J. Tatum,BOS,31,17,14,14,3,0,1,13.0
J. Brown,A. Horford,BOS,21,7,14,7,0,0,2,12.0
D. White,J. Brown,BOS,84,58,26,38,15,5,9,17.0
D. White,J. Tatum,BOS,73,40,33,31,4,5,2,31.0
D. White,K. Porzingis,BOS,71,52,19,24,20,8,0,19.0
D. White,J. Holiday,BOS,38,16,22,11,4,1,11,11.0
D. White,A. Horford,BOS,37,19,18,13,4,2,10,8.0
D. White,S. Hauser,BOS,24,2,22,2,0,0,6,16.0
K. Porzingis,J. Brown,BOS,29,24,5,17,3,4,2,3.0
K. Porzingis,D. White,BOS,29,12,17,7,3,2,2,15.0
K. Porzingis,J. Tatum,BOS,22,14,8,11,1,2,2,6.0
K. Porzingis,J. Holiday,BOS,11,5,6,4,0,1,4,2.0
A. Horford,J. Brown,BOS,38,28,10,16,8,4,3,7.0
A. Horford,J. Tatum,BOS,31,20,11,15,2,3,1,10.0
A. Horford,D. White,BOS,28,7,21,3,4,0,6,15.0
A. Horford,J. Holiday,BOS,15,3,12,1,2,0,10,2.0
S. Hauser,P. Pritchard,BOS,26,4,22,2,1,1,11,11.0
S. Hauser,J. Tatum,BOS,8,3,5,1,2,0,1,4.0
S. Hauser,J. Holiday,BOS,7,4,3,2,2,0,1,2.0
S. Hauser,D. White,BOS,6,3,3,2,1,0,0,3.0
P. Pritchard,S. Hauser,BOS,55,8,47,2,5,1,14,33.0
P. Pritchard,J. Tatum,BOS,30,21,9,12,4,5,0,9.0
P. Pritchard,L. Kornet,BOS,29,29,0,28,1,0,0,0.0
L. Kornet,P. Pritchard,BOS,11,4,7,1,2,1,2,5.0
Mikal Bridges,C. Thomas,BRK,46,28,18,9,13,6,7,11.0
Mikal Bridges,C. Johnson,BRK,43,11,32,6,3,2,15,17.0
Mikal Bridges,N. Claxton,BRK,35,34,1,25,8,1,1,0.0
Mikal Bridges,D. Finney-Smith,BRK,34,16,18,13,3,0,6,12.0
Mikal Bridges,D. Schroder,BRK,21,8,13,4,4,0,3,10.0
