Name,Team,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,USG%
D. Murray,ATL,27,78,78,2783,11.6,25.2,0.459,3.5,9.5,0.363,8.1,15.7,0.518,3.6,4.5,0.794,1.1,6.1,7.2,8.7,1.9,0.4,3.5,2.4,30.2,114,119,35.819823906704535
Bogdan Bogdanovic,ATL,31,79,33,2401,9.4,22,0.428,4.8,12.8,0.374,4.6,9.2,0.503,3,3.3,0.921,1.1,4.4,5.4,4.9,1.9,0.5,2.2,3.6,26.6,116,120,35.15951352
S. Bey,ATL,24,63,51,2062,6.7,16.2,0.416,2.6,8.3,0.316,4.1,7.9,0.522,4,4.7,0.837,3.9,5.7,9.6,2.1,1.2,0.3,1.3,2,20.1,120,121,24.90491266158542
T. Young,ATL,25,54,54,1942,10.7,24.9,0.43,4.3,11.6,0.373,6.4,13.3,0.479,8.6,10.1,0.855,0.6,3.1,3.7,14.4,1.8,0.3,5.8,2.7,34.3,117,122,40.70824872475872
J. Johnson,ATL,22,56,52,1889,9.1,17.8,0.511,1.8,5.1,0.355,7.3,12.7,0.574,2.7,3.7,0.728,1.9,10.5,12.4,5.2,1.7,1.2,2.6,3.4,22.7,117,116,27.203064530848632
C. Capela,ATL,29,73,73,1883,9,15.7,0.571,0,0,0,9,15.7,0.572,3.3,5.2,0.631,8.5,11.2,19.8,2.3,1.1,2.7,1.9,4.2,21.3,128,115,32.11813700017641
D. Hunter,ATL,26,57,37,1681,8.7,18.9,0.459,3.3,8.7,0.385,5.3,10.2,0.521,4.7,5.6,0.847,0.9,5.4,6.3,2.5,1.1,0.5,2.4,4.2,25.4,115,121,33.56706586935162
O. Okongwu,ATL,23,55,8,1405,7.6,12.5,0.611,0.8,2.4,0.333,6.8,10.1,0.676,3.1,4,0.793,4.9,7.9,12.8,2.5,0.9,2,1.5,5.5,19.2,138,118,25.69977217
J. Tatum,BOS,25,74,74,2645,12.6,26.6,0.471,4.3,11.4,0.376,8.3,15.3,0.542,7.7,9.3,0.833,1.3,10,11.2,6.8,1.4,0.8,3.5,2.7,37.1,121,111,41.67831624071043
D. White,BOS,29,73,73,2381,8,17.4,0.461,4.1,10.3,0.396,4,7.1,0.555,2.8,3.2,0.901,1.1,5.4,6.4,7.8,1.5,1.8,2.3,3.2,23,126,112,28.196173071471986
J. Brown,BOS,27,70,70,2343,13.2,26.5,0.499,3.1,8.6,0.354,10.2,17.8,0.57,4.4,6.3,0.703,1.8,6.4,8.2,5.3,1.8,0.8,3.5,3.9,34,113,112,42.658768620775255
J. Holiday,BOS,33,69,69,2263,7.2,15,0.48,3,7,0.429,4.2,8,0.526,1.3,1.6,0.833,1.8,6.3,8.1,7.3,1.3,1.2,2.7,2.4,18.8,121,113,24.448734187338314
P. Pritchard,BOS,26,82,5,1825,8,17.2,0.468,4,10.3,0.385,4.1,6.8,0.593,1.2,1.5,0.821,1.9,5.3,7.2,7.6,1.1,0.2,1.7,2.9,21.3,129,115,38.29124184945382
S. Hauser,BOS,26,79,13,1741,7.1,15.8,0.446,5.6,13.2,0.424,1.5,2.6,0.559,0.5,0.5,0.895,1.3,6.6,7.8,2.3,1.1,0.7,0.9,2.8,20.2,126,114,33.45093768847365
A. Horford,BOS,37,65,33,1740,6.1,11.9,0.511,3.1,7.3,0.419,3,4.6,0.658,0.7,0.9,0.867,2.3,9.4,11.7,4.8,1.1,1.8,1.4,2.6,16,135,111,22.291406577557915
K. Porzingis,BOS,28,57,57,1690,11.3,22,0.516,3.2,8.6,0.375,8.1,13.4,0.606,7.6,8.8,0.858,2.8,9.1,12,3.4,1.2,3.2,2.6,4.6,33.5,128,109,41.83942847843197
L. Kornet,BOS,28,63,7,983,7.1,10.2,0.7,0.1,0.1,1,7.1,10.2,0.698,2.5,2.7,0.907,5.9,7.2,13.1,3.4,1.2,3.1,1.1,3.9,16.8,157,110,34.87060955436154
Mikal Bridges,BRK,27,82,82,2854,9.8,22.5,0.436,3.8,10.3,0.372,6,12.2,0.49,4.5,5.5,0.814,1.2,5.3,6.5,5.2,1.4,0.5,2.8,2,27.9,112,118,34.531024767185066
N. Claxton,BRK,24,71,71,2116,8.6,13.6,0.629,0,0.1,0.2,8.5,13.5,0.633,2.5,4.6,0.551,4.5,12,16.5,3.4,1.1,3.4,2.2,4.1,19.7,124,111,25.93010147102646
C. Thomas,BRK,22,66,51,2075,12.6,28.4,0.442,3.4,9.5,0.364,9.1,19,0.481,6.8,8,0.856,0.7,4.4,5.1,4.6,1.1,0.4,3,3.3,35.4,110,119,48.156667652061515
D. Finney-Smith,BRK,30,68,56,1934,5.5,13.1,0.421,3,8.6,0.348,2.5,4.5,0.56,0.8,1.2,0.717,2.8,5.3,8.1,2.7,1.4,1,1.5,3.8,14.9,113,117,23.061646789091604
C. Johnson,BRK,27,58,47,1599,8.5,19.2,0.446,4.3,10.9,0.391,4.3,8.2,0.519,2.7,3.4,0.789,1.7,6.1,7.8,4.3,1.5,0.5,1.8,3.3,24,118,117,35.378644604418064
S. Dinwiddie,BRK,30,48,48,1474,6.6,16.8,0.391,3,9.3,0.32,3.6,7.4,0.48,4.2,5.4,0.781,0.9,4.4,5.3,9.7,1.3,0.3,2.1,2.9,20.3,118,119,30.039319696184332
R. O'Neale,BRK,30,49,6,1202,5.2,13.4,0.388,4,10.9,0.366,1.2,2.5,0.483,0.6,0.9,0.682,1.6,7.5,9.1,5.6,1.3,1.2,2.1,4.9,15,112,116,28.09543909184909
D. Smith,BRK,26,56,2,1059,6.9,15.8,0.435,1.5,5.1,0.294,5.4,10.7,0.502,2,2.7,0.741,2.3,5.3,7.7,9.5,3.2,0.6,3.2,5.7,17.3,110,114,46.28515478169628
D. Schroder,BRK,30,29,25,927,8.3,19.7,0.424,3.3,7.9,0.412,5.1,11.8,0.432,2.7,3.4,0.797,0.9,4.5,5.4,9.3,0.9,0.5,3.7,3.2,22.7,109,120,33.76791115444318
