Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,82,19855,3529,7584,0.465,1125,3092,0.364,2404,4492,0.535,1520,1906,0.797,1024,2639,3663,2180,615,369,1110,1522,9703
Team/G,,242.1,43,92.5,0.465,13.7,37.7,0.364,29.3,54.8,0.535,18.5,23.2,0.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3
Lg Rank,,3,10,2,21,6,7,17,14,12,20,5,7,8,3,22,6,16,16,26,16,15,5
Year/Year,,0.00%,-3.50%,0.10%,-0.018,27.60%,23.40%,0.012,-13.40%,-11.40%,-0.012,0.50%,3.00%,-0.02,11.30%,-2.90%,0.70%,6.40%,6.00%,-8.00%,4.70%,-1.20%,-0.10%
Opponent,82,19855,3659,7394,0.495,1147,2987,0.384,2512,4407,0.57,1417,1790,0.792,870,2758,3628,2314,638,461,1158,1594,9882
Opponent/G,,242.1,44.6,90.2,0.495,14,36.4,0.384,30.6,53.7,0.57,17.3,21.8,0.792,10.6,33.6,44.2,28.2,7.8,5.6,14.1,19.4,120.5
Lg Rank,,3,27,20,28,27,22,28,24,17,27,19,18,23,15,21,20,25,21,22,8,7,28
Year/Year,,0.00%,1.90%,-0.10%,0.009,17.20%,8.70%,0.028,-3.90%,-5.20%,0.008,-7.00%,-5.70%,-0.011,0.50%,0.30%,0.30%,8.60%,3.60%,11.40%,-0.30%,-1.10%,2.00%
BOS,82,19830,3601,7396,0.487,1351,3482,0.388,2250,3914,0.575,1334,1654,0.807,876,2923,3799,2207,557,538,979,1326,9887
Team/G,,241.8,43.9,90.2,0.487,16.5,42.5,0.388,27.4,47.7,0.575,16.3,20.2,0.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6
Lg Rank,,7,4,8,8,1,1,2,27,30,2,19,26,7,14,1,2,14,27,1,1,2,2
Year/Year,,-0.80%,4.10%,1.60%,0.011,2.70%,-0.30%,0.011,4.90%,3.40%,0.008,-7.10%,-6.50%,-0.005,10.10%,0.10%,2.20%,1.00%,6.90%,25.10%,-10.60%,-14.00%,2.20%
Opponent,82,19830,3403,7515,0.453,1059,3008,0.352,2344,4507,0.52,1092,1422,0.768,907,2645,3552,2042,510,304,986,1416,8957
Opponent/G,,241.8,41.5,91.6,0.453,12.9,36.7,0.352,28.6,55,0.52,13.3,17.3,0.768,11.1,32.3,43.3,24.9,6.2,3.7,12,17.3,109.2
Lg Rank,,7,13,26,2,15,23,4,13,23,2,1,1,3,26,10,14,5,2,1,29,30,5
Year/Year,,-0.80%,-0.60%,1.60%,-0.01,11.00%,8.90%,0.007,-5.10%,-2.70%,-0.013,-18.00%,-17.90%,-0.001,13.50%,-5.90%,-1.60%,7.80%,-6.30%,-4.40%,-5.20%,-9.70%,-2.00%
BRK,82,19805,3334,7307,0.456,1089,3010,0.362,2245,4297,0.522,1293,1711,0.756,938,2675,3613,2102,556,424,1076,1516,9050
