Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
ATL,36,46,36,46,-2.18,-0.19,-2.38,117.2,119.4,100.1,0.251,0.408,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192,State Farm Arena,"696,418"
Lg Rank,21,10,21,21,21,22,21,12,27,5,12,9,17,11,5,11,30,11,20,15,,25
BOS,64,18,66,16,11.34,-0.6,10.75,123.2,111.6,97.2,0.224,0.471,0.578,10.8,24.9,0.18,0.523,10.8,76.3,0.145,TD Garden,"785,396"
Lg Rank,1,30,1,1,1,29,1,1,3,23,25,1,2,2,12,21,2,29,11,1,,10
BRK,32,50,34,48,-2.89,-0.13,-3.02,113.2,116.1,96.9,0.234,0.412,0.531,11.8,25.2,0.177,0.543,11.4,76,0.193,Barclays Center,"720,291"
Lg Rank,22,9,22,22,22,20,22,23,20,26,20,8,25,13,8,23,16,24,16,16,,21
CHO,21,61,18,64,-10.24,0.13,-10.12,109.3,119.8,97.3,0.212,0.391,0.529,12.6,21.1,0.167,0.572,12.3,74.5,0.188,Spectrum Center,"674,400"
Lg Rank,27,3,30,30,30,9,30,28,29,19,30,15,26,22,27,30,29,12,24,12,,30
CHI,39,43,37,45,-1.44,-0.33,-1.77,114.9,116.3,96.3,0.236,0.358,0.534,11,25.1,0.187,0.556,12.7,76.4,0.195,United Center,"845,620"
Lg Rank,20,11,20,20,20,25,20,19,21,28,19,29,22,3,9,17,23,9,10,17,,1
CLE,48,34,47,35,2.41,-0.44,1.98,115.2,112.7,97.2,0.234,0.422,0.557,12.4,23.2,0.179,0.535,12.3,76.9,0.19,Rocket Mortgage Fieldhouse,"793,167"
Lg Rank,11,20,13,13,13,26,15,18,6,22,21,7,13,19,21,22,6,13,7,14,,9
DAL,50,32,46,36,2.21,0.09,2.3,117.6,115.4,100.1,0.251,0.441,0.562,11.2,22.2,0.19,0.548,12.1,75.2,0.184,American Airlines Center,"828,897"
