,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,ATL,1,48.42682926829268,43.03658536585366,92.48780487804878,0.465,13.71951219512195,37.707317073170735,0.364,29.317073170731707,54.78048780487805,0.535,18.536585365853657,23.24390243902439,0.797,12.487804878048781,32.18292682926829,44.670731707317074,26.585365853658537,7.5,4.5,13.536585365853659,18.56097561,118.32926829268293
1,BOS,1,48.36585365853659,43.91463414634146,90.19512195,0.487,16.475609756097562,42.46341463414634,0.388,27.43902439,47.73170731707317,0.575,16.26829268292683,20.170731707317074,0.807,10.682926829268293,35.646341463414636,46.329268292682926,26.914634146341463,6.7926829268292686,6.560975609756097,11.939024390243903,16.170731707317074,120.57317073170732
2,BRK,1,48.30487804878049,40.65853658536585,89.10975609756098,0.456,13.28048780487805,36.707317073170735,0.362,27.378048780487806,52.40243902439025,0.522,15.768292682926829,20.865853658536587,0.756,11.439024390243903,32.62195122,44.06097561,25.634146341463413,6.780487804878049,5.170731707317073,13.121951219512194,18.48780487804878,110.36585365853658
3,CHO,1,48.12195122,40.01219512195122,86.98780487804878,0.46,12.060975609756097,34,0.355,27.951219512195124,52.98780487804878,0.528,14.5,18.43902439,0.786,9.329268292682928,30.951219512195124,40.28048780487805,24.79268292682927,6.853658536585366,4.524390243902439,13.768292682926829,17.951219512195124,106.58536585365853
4,CHI,1,48.73170731707317,42.048780487804876,89.5,0.47,11.475609756097562,32.073170731707314,0.358,30.573170731707318,57.426829268292686,0.532,16.695121951219512,21.109756097560975,0.791,11.170731707317072,32.646341463414636,43.81707317073171,24.975609756097562,7.780487804878049,4.804878048780488,12.24390243902439,18.79268292682927,112.26829268292683
5,CLE,1,48.30487804878049,41.76829268292683,87.17073170731707,0.479,13.512195121951219,36.78048780487805,0.367,28.25609756097561,50.390243902439025,0.561,15.585365853658537,20.378048780487806,0.765,9.841463414634147,33.43902439,43.28048780487805,28.036585365853657,7.378048780487805,4.634146341463414,13.560975609756097,17.51219512195122,112.63414634146342
6,DAL,1,48.06097561,43.109756097560975,89.65853658536585,0.481,14.597560975609756,39.53658536585366,0.369,28.51219512195122,50.12195122,0.569,17.036585365853657,22.463414634146343,0.758,9.719512195,33.21951219512195,42.93902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,117.85365853658537
7,DEN,1,48.06097561,44.02439024390244,88.76829268292683,0.496,11.682926829268293,31.21951219512195,0.374,32.34146341463415,57.548780487804876,0.562,15.121951219512194,19.853658536585368,0.762,10.74390243902439,33.69512195121951,44.43902439,29.451219512195124,7.134146341463414,5.573170731707317,12.634146341463415,18.158536585365855,114.85365853658537
8,DET,1,48.18292682926829,40.890243902439025,88.24390244,0.463,11.048780487804878,31.73170731707317,0.348,29.841463414634145,56.51219512195122,0.528,17.048780487804876,21.70731707317073,0.785,10.5,32.829268292682926,43.329268292682926,25.463414634146343,6.475609756097561,4.682926829268292,15.21951219512195,20.585365853658537,109.8780487804878
9,GSW,1,48.36585365853659,43.68292682926829,91.64634146341463,0.477,14.768292682926829,38.91463414634146,0.38,28.914634146341463,52.73170731707317,0.548,15.634146341463415,20.048780487804876,0.78,12.146341463414634,34.56097561,46.707317073170735,29.29268292682927,6.975609756097561,4.597560975609756,14.317073170731707,19.48780487804878,117.76829268292683
10,HOU,1,48.42682926829268,41.76829268292683,90.96341463414635,0.459,12.71951219512195,36.146341463414636,0.352,29.048780487804876,54.81707317073171,0.53,18.073170731707318,23.365853658536587,0.773,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,114.32926829268293
11,IND,1,48.06097561,47.01219512195122,92.67073170731707,0.507,13.195121951219512,35.25609756097561,0.374,33.81707317073171,57.41463414634146,0.589,16.073170731707318,20.548780487804876,0.782,10.085365853658537,31.43902439,41.52439024390244,30.75609756097561,7.695121951219512,5.865853658536586,12.914634146341463,21.414634146341463,123.29268292682927
12,LAC,1,48.06097561,42.353658536585364,86.68292683,0.489,12.634146341463415,33.15853658536585,0.381,29.71951219512195,53.52439024390244,0.555,18.28048780487805,22.158536585365855,0.825,10.024390243902438,32.93902439,42.96341463414634,25.573170731707318,7.804878048780488,5.036585365853658,13.146341463414634,18.524390243902438,115.6219512195122
13,LAL,1,48.42682926829268,43.65853658536585,87.52439024390245,0.499,11.817073170731707,31.365853658536587,0.377,31.841463414634145,56.15853658536585,0.567,18.902439024390244,24.182926829268293,0.782,8.243902439,34.86585365853659,43.109756097560975,28.536585365853657,7.378048780487805,5.524390243902439,13.975609756097562,15.646341463414634,118.03658536585365
14,MEM,1,48.24390243902439,38.353658536585364,88.17073170731707,0.435,13.060975609756097,37.76829268292683,0.346,25.29268292682927,50.40243902439025,0.502,16.048780487804876,21,0.764,10.926829268292684,31.682926829268293,42.609756097560975,24.695121951219512,8.207317073170731,6.109756097560975,15.073170731707316,19.06097561,105.8170731707317
15,MIA,1,48.18292682926829,39.829268292682926,85.63414634146342,0.465,12.463414634146341,33.71951219512195,0.37,27.365853658536587,51.91463414634146,0.527,18.024390243902438,22.024390243902438,0.818,9.341463414634147,32.951219512195124,42.292682926829265,25.804878048780488,7.524390243902439,3.4146341463414633,12.658536585365853,17.25609756097561,110.14634146341463
16,MIL,1,48.30487804878049,43.146341463414636,88.51219512195122,0.487,14.182926829268293,38.073170731707314,0.373,28.963414634146343,50.43902439,0.574,18.5,23.902439024390244,0.774,9.414634146341463,34.75609756097561,44.170731707317074,26.536585365853657,6.804878048780488,5.036585365853658,12.914634146341463,19.195121951219512,118.97560975609755
17,MIN,1,48.30487804878049,41.25609756097561,85.04878048780488,0.485,12.646341463414634,32.69512195121951,0.387,28.609756097560975,52.353658536585364,0.546,17.817073170731707,22.93902439,0.777,9.390243902439025,34.23170731707317,43.62195122,26.634146341463413,7.890243902439025,6.060975609756097,14.170731707317072,18.829268292682926,112.97560975609755
18,NOP,1,48.06097561,42.48780487804878,87.37804878,0.486,12.475609756097562,32.59756097560975,0.383,30.01219512195122,54.78048780487805,0.548,17.621951219512194,22.841463414634145,0.771,10.390243902439025,33.573170731707314,43.96341463414634,26.951219512195124,8.341463414634147,4.609756097560975,13.012195121951219,18.390243902439025,115.07317073170732
